# x,y,index,family
# # Moire fringe polylines traced from H-MoSe2/WSe2 STM topograph.
# # Family 1 = I fringes, Family 2 = J fringes.
# # Source: Halbertal et al., ACS Nano 16, 1471 (2022), Fig. 1.
-245.625841,-102.288022,0,2
-227.456258,-96.231494,0,2
-207.940781,-87.483176,0,2
-176.985195,-74.697174,0,2
-139.300135,-59.219381,0,2
-100.269179,-42.395693,0,2
-55.854643,-24.899058,0,2
-11.440108,-6.056528,0,2
43.068641,20.188425,0,2
82.772544,36.339166,0,2
135.935397,54.508748,0,2
183.714670,72.005384,0,2
222.072678,86.810229,0,2
249.663526,98.923284,0,2
43.068641,-249.663526,0,1
39.030956,-230.148048,0,1
37.012113,-209.959623,0,1
32.974428,-179.004038,0,1
28.936743,-146.702557,0,1
22.880215,-102.960969,0,1
16.150740,-55.854643,0,1
10.094213,-9.421265,0,1
4.710633,32.974428,0,1
0.672948,72.005384,0,1
-5.383580,113.728129,0,1
-9.421265,155.450875,0,1
-14.131898,185.060565,0,1
-17.496635,215.343203,0,1
-17.496635,230.820996,0,1
-18.169583,251.009421,0,1
90.174966,-247.644684,5,1
87.483176,-233.512786,5,1
86.137281,-216.016151,5,1
83.445491,-191.117093,5,1
83.445491,-170.928668,5,1
80.753701,-139.973082,5,1
77.388964,-117.092867,5,1
72.005384,-82.772544,5,1
67.967699,-59.219381,5,1
63.930013,-24.226110,5,1
60.565276,12.113055,5,1
58.546433,49.798116,5,1
55.181696,87.483176,5,1
51.144011,125.841184,5,1
47.106326,152.759085,5,1
43.068641,181.022880,5,1
36.339166,219.380888,5,1
30.282638,249.663526,5,1
-1.345895,-249.663526,-5,1
-6.056528,-226.783311,-5,1
-12.113055,-184.387618,-5,1
-19.515478,-139.973082,-5,1
-28.263795,-86.137281,-5,1
-33.647376,-46.433378,-5,1
-41.722746,14.804845,-5,1
-51.816958,81.426649,-5,1
-58.546433,129.878869,-5,1
-61.911171,155.450875,-5,1
-63.930013,183.041723,-5,1
-63.930013,211.305518,-5,1
-62.584118,233.512786,-5,1
-62.584118,249.663526,-5,1
82.099596,251.009421,9,1
88.829071,216.689098,9,1
93.539704,201.211306,9,1
95.558546,179.004038,9,1
100.942127,143.337820,9,1
104.306864,98.250336,9,1
106.998654,57.200538,9,1
107.671602,28.263795,9,1
107.671602,-19.515478,9,1
110.363392,-45.760431,9,1
114.401077,-65.275908,9,1
121.130552,-92.193809,9,1
122.476447,-123.822342,9,1
124.495289,-158.142665,9,1
125.841184,-201.211306,9,1
127.860027,-228.129206,9,1
129.878869,-247.644684,9,1
137.954240,-248.317631,10,1
135.935397,-199.865410,10,1
132.570659,-131.897712,10,1
126.514132,-78.061911,10,1
121.803499,-29.609690,10,1
121.803499,20.861373,10,1
121.803499,85.464334,10,1
123.822342,146.702557,10,1
126.514132,192.462988,10,1
131.897712,217.362046,10,1
141.991925,243.606999,10,1
144.010767,247.644684,10,1
-248.990579,-45.760431,5,2
-206.594886,-27.590848,5,2
-147.375505,-3.364738,5,2
-72.005384,29.609690,5,2
-3.364738,60.565276,5,2
68.640646,92.866756,5,2
106.998654,111.036339,5,2
137.954240,120.457604,5,2
189.771198,141.991925,5,2
233.512786,158.815612,5,2
249.663526,164.872140,5,2
-248.990579,-160.161507,-5,2
-202.557201,-141.318977,-5,2
-161.507402,-125.841184,-5,2
-110.363392,-106.325707,-5,2
-65.948856,-88.156124,-5,2
-5.383580,-63.257066,-5,2
51.144011,-40.376851,-5,2
112.382234,-17.496635,-5,2
162.180350,2.691790,-5,2
213.997308,22.880215,-5,2
227.456258,29.609690,-5,2
250.336474,33.647376,-5,2
-248.990579,12.113055,10,2
-207.940781,30.282638,10,2
-149.394347,57.873486,10,2
-72.005384,94.212651,10,2
-15.477793,123.149394,10,2
40.376851,149.394347,10,2
80.753701,168.909825,10,2
122.476447,179.676985,10,2
144.683715,188.425303,10,2
164.199192,199.192463,10,2
189.771198,213.324361,10,2
229.475101,235.531629,10,2
248.990579,247.644684,10,2
-250.336474,36.339166,12,2
-218.707941,50.471063,12,2
-158.815612,78.061911,12,2
-104.306864,105.652759,12,2
-47.779273,135.935397,12,2
-1.345895,162.180350,12,2
34.993271,178.331090,12,2
92.866756,203.230148,12,2
127.860027,213.324361,12,2
154.104980,227.456258,12,2
170.255720,239.569314,12,2
188.425303,247.644684,12,2
-250.336474,46.433378,13,2
-226.783311,57.200538,13,2
